date,ucr_category,ucr_code,geometry,longitude,latitude,year
2017-03-17,03* - ROBBERY,301,"c(1018235.56172958, 835539.148979094)",1018235.5617295775,835539.1489790936,2017
2017-03-20,03* - ROBBERY,301,"c(1015639.83065069, 851742.851583698)",1015639.8306506915,851742.8515836983,2017
2017-03-21,03* - ROBBERY,301,"c(1011368.84999441, 837376.309149503)",1011368.8499944068,837376.309149503,2017
2017-05-07,03* - ROBBERY,304,"c(1016357.89135508, 841948.219363212)",1016357.8913550755,841948.2193632122,2017
2017-05-06,03* - ROBBERY,301,"c(1018631.29160946, 837004.8491009)",1018631.291609458,837004.8491009002,2017
2017-05-08,03* - ROBBERY,353,"c(1020293.3718623, 829380.177886471)",1020293.3718622974,829380.177886471,2017
2017-05-11,03* - ROBBERY,301,"c(1013545.00278592, 840447.081890149)",1013545.00278592,840447.0818901487,2017
2017-05-11,03* - ROBBERY,304,"c(1019766.32144749, 835039.289039765)",1019766.3214474944,835039.2890397647,2017
2017-05-11,03* - ROBBERY,311,"c(1017131.53121671, 836369.299018316)",1017131.5312167052,836369.2990183163,2017
2017-05-12,03* - ROBBERY,304,"c(1016562.29830155, 836969.773965024)",1016562.2983015516,836969.773965024,2017
2017-06-15,03* - ROBBERY,304,"c(1013822.99375349, 830451.402445419)",1013822.9937534938,830451.4024454189,2017
2017-06-14,03* - ROBBERY,304,"c(1016900.76422583, 836958.150637545)",1016900.7642258299,836958.1506375447,2017
2017-06-14,03* - ROBBERY,301,"c(1013757.89083119, 841102.329073253)",1013757.890831187,841102.3290732534,2017
2017-06-15,03* - ROBBERY,304,"c(1014954.45096344, 842373.729703465)",1014954.4509634424,842373.7297034652,2017
2017-06-16,03* - ROBBERY,304,"c(1015964.58312374, 838504.006082607)",1015964.583123737,838504.0060826072,2017
2017-06-16,03* - ROBBERY,304,"c(1014108.7645103, 852022.664020113)",1014108.7645102955,852022.6640201131,2017
2017-06-18,03* - ROBBERY,301,"c(1023558.39183261, 850825.291493653)",1023558.391832612,850825.2914936526,2017
2017-07-11,03* - ROBBERY,301,"c(1019641.47811211, 846751.270507682)",1019641.4781121055,846751.2705076818,2017
2017-07-11,03* - ROBBERY,302,"c(1017551.23151278, 838228.789440187)",1017551.2315127815,838228.789440187,2017
2017-07-14,03* - ROBBERY,301,"c(1018322.97957113, 844896.971319914)",1018322.979571134,844896.9713199142,2017
2017-04-11,03* - ROBBERY,342,"c(1017342.66142524, 845968.720336235)",1017342.6614252389,845968.7203362347,2017
2017-04-12,03* - ROBBERY,304,"c(1017672.08140504, 836860.37918593)",1017672.0814050381,836860.3791859302,2017
2017-04-14,03* - ROBBERY,312,"c(1015286.87102541, 840580.869107275)",1015286.8710254055,840580.8691072746,2017
2017-04-15,03* - ROBBERY,304,"c(1010375.03025446, 837780.42879385)",1010375.0302544648,837780.42879385,2017
2017-04-15,03* - ROBBERY,301,"c(1020890.80170572, 844822.040437356)",1020890.8017057178,844822.0404373556,2017
2017-03-21,03* - ROBBERY,304,"c(1015668.9654, 842997.200385633)",1015668.9654000001,842997.2003856329,2017
2017-03-21,03* - ROBBERY,304,"c(1018673.59949155, 840423.558479077)",1018673.5994915493,840423.5584790771,2017
2017-02-22,03* - ROBBERY,341,"c(1013947.06079659, 840139.919400343)",1013947.0607965864,840139.9194003434,2017
2017-02-26,03* - ROBBERY,304,"c(1016668.35110522, 841666.859317257)",1016668.3511052151,841666.8593172574,2017
2017-02-26,03* - ROBBERY,301,"c(1019630.45170722, 842191.389963349)",1019630.4517072171,842191.3899633492,2017
2017-02-24,03* - ROBBERY,304,"c(1018684.61685739, 840505.699079105)",1018684.6168573875,840505.6990791047,2017
2017-08-24,03* - ROBBERY,304,"c(1021158.00122923, 848618.63103003)",1021158.0012292304,848618.6310300296,2017
2017-08-25,03* - ROBBERY,304,"c(1015695.66974986, 842942.501010249)",1015695.6697498572,842942.501010249,2017
2017-08-25,03* - ROBBERY,304,"c(1021908.39388688, 849086.398910689)",1021908.3938868787,849086.3989106889,2017
2017-01-28,03* - ROBBERY,344,"c(1018190.1414166, 849152.160808695)",1018190.1414166029,849152.1608086952,2017
2017-07-28,03* - ROBBERY,301,"c(1017859.81234665, 837420.201999926)",1017859.8123466459,837420.201999926,2017
2017-07-26,03* - ROBBERY,304,"c(1015245.45151986, 839391.585492706)",1015245.4515198589,839391.5854927064,2017
2017-06-16,03* - ROBBERY,304,"c(1019599.57147658, 843319.160235202)",1019599.5714765827,843319.1602352019,2017
2017-07-29,03* - ROBBERY,302,"c(1021643.3320596, 828228.717739996)",1021643.3320595997,828228.7177399963,2017
2017-08-01,03* - ROBBERY,304,"c(1022034.48225148, 838819.509649322)",1022034.4822514799,838819.5096493223,2017
2017-07-31,03* - ROBBERY,313,"c(1018398.01579436, 836696.714807199)",1018398.0157943631,836696.7148071991,2017
2017-09-17,03* - ROBBERY,301,"c(1014404.95080166, 837571.138949792)",1014404.9508016638,837571.1389497925,2017
2017-09-18,03* - ROBBERY,313,"c(1009772.34490595, 830390.538905428)",1009772.3449059475,830390.5389054284,2017
2017-09-18,03* - ROBBERY,344,"c(1015742.7309781, 844111.939844539)",1015742.7309780978,844111.9398445394,2017
2017-09-17,03* - ROBBERY,304,"c(1016979.89004692, 847555.479925667)",1016979.8900469234,847555.479925667,2017
2017-09-19,03* - ROBBERY,313,"c(1013320.43049076, 846363.850395927)",1013320.4304907557,846363.850395927,2017
2017-09-19,03* - ROBBERY,301,"c(1013053.95007496, 854099.471586065)",1013053.9500749578,854099.4715860648,2017
2017-09-19,03* - ROBBERY,304,"c(1016594.70147513, 836455.289002916)",1016594.701475128,836455.2890029161,2017
2017-05-16,03* - ROBBERY,302,"c(1018207.28153623, 837386.594132421)",1018207.2815362337,837386.5941324208,2017
2017-05-19,03* - ROBBERY,301,"c(1018717.4301712, 848873.790921989)",1018717.4301711974,848873.7909219888,2017
2017-01-10,03* - ROBBERY,301,"c(1017339.72114258, 845946.140324444)",1017339.7211425836,845946.1403244443,2017
2017-01-11,03* - ROBBERY,301,"c(1023997.58205646, 848623.540891572)",1023997.5820564575,848623.5408915717,2017
2017-01-11,03* - ROBBERY,314,"c(1019829.8718429, 835487.418809952)",1019829.8718429025,835487.4188099519,2017
2017-01-12,03* - ROBBERY,311,"c(1024439.76238464, 847872.150859022)",1024439.7623846388,847872.1508590222,2017
2017-01-15,03* - ROBBERY,304,"c(1020854.68133609, 845675.10057524)",1020854.6813360931,845675.1005752402,2017
2017-01-13,03* - ROBBERY,343,"c(1019980.18173221, 831788.797870007)",1019980.1817322088,831788.7978700071,2017
2017-01-13,03* - ROBBERY,301,"c(1021158.00122923, 848618.63103003)",1021158.0012292304,848618.6310300296,2017
2017-01-16,03* - ROBBERY,311,"c(1023839.89172868, 848499.291110777)",1023839.8917286812,848499.2911107772,2017
2017-01-16,03* - ROBBERY,304,"c(1015660.10518086, 842964.124985771)",1015660.1051808568,842964.1249857709,2017
2017-01-17,03* - ROBBERY,314,"c(1019530.99101653, 849502.401361947)",1019530.991016532,849502.4013619467,2017
2017-10-13,03* - ROBBERY,301,"c(1015271.90444587, 832756.885862021)",1015271.9044458651,832756.8858620205,2017
2017-10-14,03* - ROBBERY,304,"c(1016282.24136275, 837886.34907208)",1016282.2413627491,837886.3490720798,2017
2017-10-13,03* - ROBBERY,301,"c(1015738.68104606, 846260.530452036)",1015738.6810460563,846260.5304520358,2017
2017-10-13,03* - ROBBERY,301,"c(1019094.29909254, 843410.684987681)",1019094.2990925371,843410.6849876805,2017
2017-05-17,03* - ROBBERY,301,"c(1017806.95097633, 844885.020537169)",1017806.9509763293,844885.0205371688,2017
2017-06-20,03* - ROBBERY,304,"c(1015264.9315334, 827514.61711418)",1015264.9315334031,827514.6171141802,2017
2017-03-24,03* - ROBBERY,313,"c(1017211.77182191, 828311.57735296)",1017211.7718219087,828311.5773529601,2017
2017-03-25,03* - ROBBERY,304,"c(1020959.14983756, 840011.598340217)",1020959.1498375644,840011.5983402174,2017
2017-03-25,03* - ROBBERY,301,"c(1017893.28110953, 847664.45055938)",1017893.2811095339,847664.4505593805,2017
2017-03-26,03* - ROBBERY,302,"c(1017552.08174573, 833089.388289138)",1017552.0817457255,833089.3882891379,2017
2017-03-26,03* - ROBBERY,301,"c(1019521.20150481, 834392.038888358)",1019521.201504813,834392.038888358,2017
2017-04-16,03* - ROBBERY,313,"c(1014142.95036018, 845447.230031221)",1014142.9503601821,845447.2300312214,2017
2017-04-16,03* - ROBBERY,301,"c(1019649.67087581, 850851.361199805)",1019649.6708758055,850851.3611998046,2017
2017-04-17,03* - ROBBERY,301,"c(1019183.72133724, 838477.559385764)",1019183.7213372444,838477.559385764,2017
2017-04-17,03* - ROBBERY,304,"c(1015206.01119855, 832563.907861919)",1015206.0111985478,832563.9078619195,2017
2017-11-10,03* - ROBBERY,314,"c(1021378.60217469, 829696.627809945)",1021378.6021746908,829696.6278099447,2017
2017-11-11,03* - ROBBERY,301,"c(1014593.20059251, 843572.790190005)",1014593.200592511,843572.7901900053,2017
2017-11-11,03* - ROBBERY,301,"c(1017704.51113664, 846836.350342816)",1017704.5111366406,846836.3503428156,2017
2017-11-12,03* - ROBBERY,304,"c(1019626.90090134, 850927.001482368)",1019626.9009013422,850927.0014823677,2017
2017-08-26,03* - ROBBERY,314,"c(1011784.12998698, 840331.519048903)",1011784.129986979,840331.5190489033,2017
2017-08-28,03* - ROBBERY,304,"c(1018291.64165297, 836384.599225689)",1018291.6416529737,836384.5992256894,2017
2017-08-28,03* - ROBBERY,304,"c(1014484.58084062, 839597.159243406)",1014484.5808406235,839597.1592434061,2017
2017-08-29,03* - ROBBERY,304,"c(1018782.34138967, 831394.45799169)",1018782.3413896713,831394.4579916905,2017
2017-07-14,03* - ROBBERY,301,"c(1018054.01148582, 836964.428879314)",1018054.0114858199,836964.4288793136,2017
2017-07-15,03* - ROBBERY,304,"c(1020192.01190091, 836574.659312314)",1020192.0119009083,836574.6593123137,2017
2017-07-15,03* - ROBBERY,304,"c(1014449.05136747, 829901.097685535)",1014449.0513674716,829901.0976855347,2017
2017-07-16,03* - ROBBERY,304,"c(1015113.56779291, 842647.814187409)",1015113.567792913,842647.8141874095,2017
2017-07-17,03* - ROBBERY,303,"c(1019721.4183914, 842646.725430056)",1019721.4183913982,842646.7254300561,2017
2017-01-31,03* - ROBBERY,322,"c(1018499.70199015, 835850.718963127)",1018499.7019901492,835850.7189631272,2017
2017-02-02,03* - ROBBERY,301,"c(1018408.76139318, 850223.411177638)",1018408.7613931792,850223.4111776378,2017
2017-01-31,03* - ROBBERY,301,"c(1018038.60832841, 846032.882644842)",1018038.6083284109,846032.8826448418,2017
2017-01-31,03* - ROBBERY,302,"c(1021514.81299884, 836264.029339398)",1021514.8129988394,836264.0293393981,2017
2017-02-01,03* - ROBBERY,301,"c(1021772.50870929, 836816.81542299)",1021772.5087092886,836816.8154229899,2017
2017-02-04,03* - ROBBERY,301,"c(1010327.33022, 837457.098667573)",1010327.3302200013,837457.0986675726,2017
2017-02-03,03* - ROBBERY,351,"c(1011831.76059879, 836662.098512377)",1011831.7605987934,836662.0985123769,2017
2017-02-02,03* - ROBBERY,304,"c(1015239.9008128, 835253.118885479)",1015239.9008127971,835253.118885479,2017
2017-02-25,03* - ROBBERY,301,"c(1016140.51074709, 844845.960185468)",1016140.5107470857,844845.9601854677,2017
2017-02-23,03* - ROBBERY,314,"c(1020255.40159594, 845159.000437795)",1020255.4015959419,845159.0004377946,2017
2017-02-27,03* - ROBBERY,303,"c(1020451.61150511, 836342.438939724)",1020451.6115051147,836342.4389397235,2017
2017-02-27,03* - ROBBERY,301,"c(1011687.18563415, 839545.140544719)",1011687.1856341528,839545.1405447194,2017
2017-02-22,03* - ROBBERY,304,"c(1021119.58946604, 831317.59501829)",1021119.5894660405,831317.5950182901,2017
2017-05-19,03* - ROBBERY,342,"c(1020752.83224029, 831753.907866569)",1020752.832240292,831753.9078665691,2017
2017-05-19,03* - ROBBERY,304,"c(1019224.87644079, 838654.806114252)",1019224.876440791,838654.806114252,2017
2017-05-20,03* - ROBBERY,304,"c(1020794.18149718, 844101.130318889)",1020794.1814971803,844101.1303188894,2017
2017-05-20,03* - ROBBERY,304,"c(1017672.64144264, 836882.909000906)",1017672.6414426382,836882.9090009057,2017
2017-05-21,03* - ROBBERY,301,"c(1014304.66154419, 849645.201128981)",1014304.6615441885,849645.2011289811,2017
2017-05-22,03* - ROBBERY,304,"c(1013217.0300692, 836916.642389444)",1013217.030069198,836916.6423894444,2017
2017-05-22,03* - ROBBERY,304,"c(1020890.80170572, 844822.040437356)",1020890.8017057178,844822.0404373556,2017
2017-08-01,03* - ROBBERY,301,"c(1019328.45142908, 837310.539188485)",1019328.4514290849,837310.5391884845,2017
2017-08-02,03* - ROBBERY,302,"c(1019350.76154045, 833892.258617374)",1019350.7615404523,833892.2586173738,2017
2017-08-03,03* - ROBBERY,311,"c(1019636.61139591, 834555.018912725)",1019636.6113959133,834555.018912725,2017
2017-08-04,03* - ROBBERY,312,"c(1011204.74048333, 834311.879311256)",1011204.7404833297,834311.8793112558,2017
