name,types,address,place_id,longitude,latitude
Select Food Mart,gas_station,"125 New Britain Avenue, Hartford",ChIJcccEsyJT5okRi_jag49HwHw,1017194.9509398236,832221.8224862997
"Gas,cars",gas_station,"101 New Britain Avenue #93, Hartford",ChIJYxTBVz1T5okRzr7mXysPldk,1017383.4342531594,832343.7773044722
Shell,gas_station,"335 Capitol Avenue, Hartford",ChIJa6-3vUJT5okRjaJc6DElyTk,1017162.5848156831,838969.6823409203
Gulf gas station,gas_station,"611 Maple Avenue, Hartford",ChIJF6mJzRlT5okRpJ359LR4pLE,1018388.1300341905,831754.0038763924
SELECT FOOD MART,gas_station,"181 Franklin Avenue, Hartford",ChIJFVksVxBT5okRm1hEfeY88O4,1019843.2633551582,832556.7390155895
Hartford Mart,gas_station,"519 Farmington Avenue, Hartford",ChIJ-1-QME1T5okRydM16b1UchE,1011381.4369211295,839969.7622699097
Ravi Petroleum Gulf,gas_station,"472 Farmington Avenue, Hartford",ChIJw-JjdE1T5okRugE40hGO1Sw,1011811.0602393539,840180.9947404449
Paul's Depot Garage,gas_station,"1115 Capitol Avenue, Hartford",ChIJSV8C7bWs54kRPRO7JNY96lA,1009718.3232350616,837554.79414572
D & B Gas Station,gas_station,"Broad Street, Hartford",ChIJWRTZMD5T5okRHTmw0PXGlf4,1017159.2407289324,834792.4464092324
Citgo,gas_station,"182 Washington Street, Hartford",ChIJmWwXqGtT5okRSLMPkstDW_M,1018489.3483226495,836524.141050998
Capitol Gulf,gas_station,"1127 Capitol Avenue, Hartford",ChIJC6E37rWs54kRKv_1ozTq78g,1009560.8095189105,837566.6454385498
Ravi Petro,gas_station,"466 Farmington Avenue, Hartford",ChIJsZlpnU1T5okRjX5t6YRyg94,1011813.5802131536,840215.1762551568
Noble,gas_station,"131 Buckingham Street, Hartford",ChIJ57UivKZT5okRUY5Aiv9szyU,1019704.4895659707,837690.8956424191
Citgo,gas_station,"410 Market Street, Hartford",ChIJ_Ss1WoJU5okRrv-oxS4I8GQ,1021654.5236676345,842685.7301669313
